ID;IMO;Navio;Berço;start;end;Natureza;Agência;Sentido
230;9312573;XIN WEI HAI;BERÇO 218;25/10/2024 08:50;25/10/2024 17:10;Full Conteiner;COSCO SHIPPING LINES CO LTD;Exportação & Importação
231;9633939;CAP SAN ARTEMISSIO;BERÇO 218;25/10/2024 17:47;26/10/2024 04:30;Full Conteiner;GREEN SPANKER SHIPPING S.A;Exportação & Importação
232;9722704;CMA CGM TANYA;BERÇO 218;27/10/2024 01:15;27/10/2024 20:24;Full Conteiner;CMA-CGM SOCIÉTÉ ANONYME;Exportação & Importação
233;9786736;SEASPAN OSPREY;BERÇO 218;28/10/2024 00:15;28/10/2024 19:03;Full Conteiner;OCEAN NETWORK EXPRESS PTE. LTD;Exportação & Importação
234;9938298;CMA CGM AMAZONIA;BERÇO 218;28/10/2024 20:00;29/10/2024 19:10;Full Conteiner;CMA-CGM SOCIÉTÉ ANONYME;Exportação & Importação
235;9225653;ALESSIA;BERÇO 218;29/10/2024 19:40;30/10/2024 10:25;Full Conteiner;MSC MEDITERRANEAN SHIPPING COMPANY;Exportação & Importação
236;9627904;TRAIGUEN;BERÇO 218;30/10/2024 14:40;31/10/2024 19:48;Full Conteiner;MAERSK LINE A/S;Exportação & Importação
237;9962574;MSC MARIE;BERÇO 218;31/10/2024 20:40;02/11/2024 01:15;Full Conteiner;MSC MEDITERRANEAN SHIPPING COMPANY;Exportação & Importação
238;9777175;CAPE ARTEMISIO;BERÇO 218;02/11/2024 03:10;02/11/2024 17:10;Full Conteiner;HAPAG - LLOYD CONTAINER LINE;Exportação & Importação
239;9629457;CARDIFF;BERÇO 218;02/11/2024 17:44;03/11/2024 07:47;Full Conteiner;CMA-CGM SOCIÉTÉ ANONYME;Exportação & Importação
240;9619438;MSC ALBANY;BERÇO 218;03/11/2024 08:45;04/11/2024 08:55;Full Conteiner;MSC MEDITERRANEAN SHIPPING COMPANY;Exportação & Importação
